player,stat1,stat2,stat3,stat4,stat5,stat6,stat7,stat8,stat9,stat10,stat11,stat12,stat13,stat14,stat15,stat16,stat17,stat18,stat19,stat20,stat21,stat22,stat23,stat24,stat25,stat26,stat27,stat28,stat29,stat30,stat31,stat32,stat33,stat34,stat35,stat36,stat37,stat38,stat39,stat40,stat41,stat42,stat43,stat44,stat45,stat46,stat47,stat48,stat49,stat50,stat51,stat52,stat53,stat54,stat55,stat56,stat57,stat58,stat59,stat60,stat61,stat62,stat63,stat64,stat65,stat66,stat67,stat68,stat69,stat70,stat71,stat72,stat73,stat74,stat75,stat76,stat77,stat78,stat79,stat80,stat81,stat82,stat83,stat84,stat85,stat86,stat87,stat88,stat89,stat90,stat91,stat92,stat93,stat94,stat95,stat96,stat97,stat98,stat99,stat100,stat101,stat102,stat103,stat104,stat105,stat106,stat107,stat108,stat109,stat110,stat111,stat112,stat113,stat114,stat115,stat116,stat117,stat118,stat119,stat120,stat121,stat122,stat123,stat124,stat125,stat126,stat127
player1,"0,00005719187875","0,4635854342",,"0,2694537687","0,08097165992",,"0,4808184143",,"0,05882352941",,"0,4285057471","0,09884117246","0,1176324913","0,1859141184","0,09258033679","0,3733269598","0,07533759773",,"0,2659807074","0,3985507246",,"0,6238501971","0,2266092814","0,5737051793","0,25",,"0,0003614022407",,,"0,4394879752",,"0,1277777778","0,08221925134",,"0,3985431842","0,1060393258","0,06963042314","0,0175007149","0,08699808795","0,2183421517","0,2266666667","0,1007222587","0,2567423147","0,0595065312","0,1693922382","0,4437627812","0,4921956296","0,2671433012","0,1477272727","0,3576017131","0,265561771",,,"1,900418799","0,09816971714","0,07340425532","0,431372549","0,07498660953","0,09310589908","0,09688581315","0,3187702265",,"0,1043549712","0,4313517339",0,"0,4826086957",,"0,2619125863","0,5516858096","0,3322046652","0,6152234637","0,2987288136","0,6226274656","0,470019565","0,3118214717","0,4459840301","0,3499757046","0,2266092814","0,1559633028","0,1752366334","0,072","0,0006054184955",,,,,"0,4831730769","0,312","0,3428571429","0,0097799511",,,"0,4573960464","0,2722903148","0,1927986907","0,09615384615",0,"0,2732056048","0,04284299158","0,1092611863",,"0,06617038875","0,5922939068","0,2333676622",,"0,1752366334","0,82263978",,"0,08128750682","0,3036205487","0,3880287009",,"0,4612188366",,"0,4648813342",,"0,3045221296","0,433083096","0,18956796","0,3933933934","0,2950574139","0,2514474773","0,2171428571",,"0,2874076619",,
player2,"0,0002575438898","0,4514767932",,"0,2801884453","0,05376344086",,"0,4496855346",,"0,06086956522",,"0,5575984991","0,08427581175","0,05127705206","0,2427288281","0,04971198157","0,3447602131","0,1591475228",,"0,2658637135","0,4968152866",,"0,6832361146","0,1838164583","0,5027322404","0,3703703704",,"0,007156619873",,,"0,5181441161",,"0,03118040089","0,04553298819",,"0,4095149254","0,06899137608","0,02680599727","0,03081941881","0,05879218472","0,1976778803","0,167709637","0,05291543706","0,2774151718","0,102862254","0,1815333579","0,4053265232","0,5391791045","0,2339925776","0,2052980132","0,7043650794","0,2799609254",,,"2,073667205","0,0658105939","0,0571817563","0,4905660377","0,1540208996","0,05258787711","0,04132231405","0,6636363636",,"0,09593908629","0,4261348727","0,0004277769856","0,3855421687",,"0,3642440447","0,8360164732","0,3354111012","0,8602719033","0,4097633136","0,6475662354","0,4778141751","0,3256113256","0,4645628557","0,3202545069","0,1838164583","0,2183098592","0,1570848472","0,05447470817","0,0028363047",,,,,"0,4096385542","0,3281452659","0,3582089552","0,01255230126",,,"0,5103976651","0,3478941873","0,1709961868","0,03370786517","0,000550509221","0,2447096193","0,2595047768","0,05130597015",,"0,1590163934","0,8666359022","0,2969841034",,"0,1570848472","0,6488222698",,"0,05208704959","0,3339925062","0,3387275242",,"0,4492307692",,"0,4471587335",,"0,2824491508","0,4197284345","0,1561653568","0,4034749035","0,2329390355","0,1498360656","0,136318408",,"0,2424172529",,
player3,0,"0,3941605839",,"0,2597200622","0,0931372549",,"0,4981382548",,"0,06015037594",,"0,5536480687","0,05640423032","0,1156203412","0,2143681847","0,08796090626","0,2536647546","0,04817044928",,"0,3058952182","0,5584415584",,"0,6428771341","0,1856586316","0,5352480418","0,4333333333",,0,,,"0,4640663391",,"0,1478743068","0,076698484",,"0,4871987952","0,05128205128","0,062805566","0,02349578709","0,08588272785","0,2096774194","0,2947214076","0,09679408138","0,2799899825","0,03578528827","0,1690369768","0,4259694477","0,4043674699","0,2415590763","0,1666666667","0,404494382","0,2360980943",,,"2,022431259","0,08132147395","0,07868601986","0,3470149254","0,03384731102","0,07874015748","0,09832402235","0,4883303411",,"0,06152758133","0,4185310734","0,0003272251309","0,416988417",,"0,2813367499","0,6905866303","0,3161880719","0,7947229551","0,3840749415","0,6261980831","0,4841503551","0,3668335718","0,4501273761","0,3318348065","0,1856586316","0,1641791045","0,1587329993","0,03125","0,0009663910663",,,,,"0,4305364512","0,3125","0,350921273","0,002382370459",,,"0,517626322","0,2896855828","0,1665250637","0,04672897196",0,"0,2512527375","0,02054000331","0,1084337349",,"0,1012368301","0,7393803897","0,2498346561",,"0,1587329993","0,8426086957",,"0,08633879781","0,3332737137","0,2976264446",,"0,395091053",,"0,4588755527",,"0,2902084649","0,4247020585","0,1785965323","0,3742857143","0,2638250673","0,2588181402","0,2646566164",,"0,264686023",,
player4,0,"0,5959409594",,"0,2850929221","0,106122449",,"0,4094063223",,"0,09459459459",,"0,503968254","0,04478656403","0,1231799651","0,2378512105","0,09773094247","0,3296674522","0,1346633416",,"0,2207288347","0,5",,"0,6492146597","0,2341681939","0,5045045045","0,2727272727",,"0,000390625",,,"0,4854736842",,"0,1045130641","0,07509264677",,"0,4221789883","0,04785362421","0,05003291639","0,0006848888612","0,1123330715","0,1875843455","0,2929782082","0,1152108434","0,2493347717","0,1043165468","0,1966610074","0,4163750875","0,4747081712","0,302406673","0,06315789474","0,3940298507","0,2966762008",,,"2,029859485","0,1021416804","0,1026570048","0,5992509363","0,1007241606","0,08728179551","0,076171875","0,3576864536",,"0,04907407407","0,5001876173",0,"0,4327731092",,"0,3089386492","0,484885127","0,3413825758","0,5120192308","0,3531914894","0,6288561936","0,4542119743","0,271333674","0,4354403025","0,4305981595","0,2341681939","0,1401869159","0,2088244183","0,03151862464","0,0001450326323",,,,,"0,5804195804","0,3667621777","0,5505226481","0,02042205582",,,"0,5388383485","0,332852194","0,217185029","0,09734513274",0,"0,3245750576","0,0725101922","0,1031128405",,"0,07966321244","0,4990680336","0,2772301034",,"0,2088244183","0,8024963289",,"0,09463532248","0,3028741155","0,3820132013",,"0,5895117541",,"0,4212721585",,"0,2801529371","0,4051987768","0,223855081","0,4102564103","0,3345864662","0,2700777202","0,002787456446",,"0,2503779289",,
player5,"0,00005268592864","0,4744693058",,"0,2370121131","0,06928406467",,"0,4644549763",,"0,06958762887",,"0,5845125445","0,05930543188","0,1205998949","0,2112303993","0,09793574422","0,2451377277","0,07361427996",,"0,259511457","0,4463937622",,"0,6678022615","0,2009173363","0,5534539474","0,3859649123",,0,,,"0,3935643564",,"0,1445657826","0,08538416346",,"0,4782693054","0,05211676601","0,07045403713","0,0008851236012","0,1014696823","0,2036805989","0,3047994269","0,1074961475","0,2397192381","0,04091845746","0,1962444772","0,4509349955","0,4101668607","0,2612168004","0,1017274472","0,3564993565","0,2520398762",,,"1,740009723","0,09192200557","0,06757289204","0,4297668858","0,05658689331","0,08602872098","0,06696007545","0,2534759358",,"0,06430102405","0,4685180445","0,00005517089184","0,4631843927",,"0,2634201994","0,5101806904","0,2875571522","0,5437306502","0,4516129032","0,6576986755","0,4390471284","0,3121120536","0,4684258694","0,3703536299","0,2009173363","0,1190082645","0,1705566457","0,04449152542","0,0002996948561",,,,,"0,5117647059","0,3192090395","0,4482100239","0,0131826742",,,"0,4897595726","0,2503279979","0,1836975247","0,1734475375",0,"0,2777286042","0,03209628887","0,1115638339",,"0,1195885126","0,538836893","0,2093390678",,"0,1705566457","0,8303281644",,"0,06767900241","0,28830106","0,3070371261",,"0,4730454417",,"0,4355301816",,"0,3075921474","0,4473032316","0,2000816502","0,3641221374","0,2729702044","0,3079725675","0,01002386635",,"0,2843491643",,
player6,0,"0,5304232804",,"0,2944250871","0,0328358209",,"0,4795531618",,"0,0206185567",,"0,5833891494","0,1154508903","0,03092399404","0,1839113132","0,04422784382","0,3089926804","0,1924435988",,"0,2753722795","0,5727272727",,"0,6510006064","0,1878172589","0,6783625731",0,,0,,,"0,5352644836",,"0,3481228669","0,0535215018",,"0,2928571429","0,07498341075","0,02658111824","0,001389974807","0,06117113977","0,1947162427","0,2421746293","0,03741695975","0,2899059703","0,1542776999","0,1565536601","0,4979896611","0,4321428571","0,2269369199","0,09803921569","0,3907455013","0,2243266372",,,"2,14321608","0,2358318099","0,03330557868","0,6424050633","0,164527956","0,04865452569","0,01256281407","0,3340517241",,"0,1384136858","0,3619584722",0,"0,4601226994",,"0,1416949976","0,6421052632","0,3561643836","0,6774193548","0,4596774194","0,6324582339","0,5056312982","0,3232920925","0,4479449197","0,2739160962","0,1878172589","0,1272727273","0,1538802661","0,05054945055",0,,,,,"0,4390243902","0,3362637363","0,1883525708","0,004437049362",,,"0,3865594486","0,3575184017","0,164568009","0,5",0,"0,2237425072","0,08178092399","0,275",,"0,0807106599","0,6870404412","0,3102189781",,"0,1538802661","0,8767820774",,"0,02593659942","0,3403378109","0,3142779366",,"0,5228161669",,"0,4760369955",,"0,3008688341","0,4213993639","0,1433429421","0,314479638","0,2416323608","0,1979695431","0,01573976915",,"0,2767830498",,
player7,0,"0,4180238871",,"0,240495137","0,05921052632",,"0,4643351801",,"0,07368421053",,"0,3952924888","0,07444764649","0,1141074663","0,1789617486","0,08872109486","0,4308883155","0,1092070868",,"0,2588803089","0,3317073171",,"0,6779577811","0,221402214","0,4760479042","0,5",,"0,00408719346",,,"0,4149969642",,"0,177383592","0,07629204266",,"0,3724662162","0,07753479125","0,07218777679","0,01351721618","0,08993733874","0,1697722567","0,2203389831","0,09815314381","0,239576532","0,04761904762","0,1616678859","0,5196926033","0,4890202703","0,2764035924","0,2244897959","0,4685598377","0,2877976119",,,"1,530691299","0,1145975443","0,07194899818","0,4153498871","0,08768821966","0,06854487366","0,09874826147","0,2665745856",,"0,07933688573","0,4715817694","0,0002414584088","0,4558823529",,"0,2980115123","0,5744553865","0,2812823164","0,6127536232","0,4109396914","0,6751904244","0,4477078613","0,3007063572","0,4911095306","0,3909107876","0,221402214","0,2229299363","0,1833547283","0,0534351145","0,0008228517691",,,,,"0,424","0,3536895674","0,4972038638","0,01157024793",,,"0,4058597502","0,2409235108","0,1991138561","0,2641509434",0,"0,2962370993","0,04648822701","0,1385135135",,"0,1508474576","0,5927221833","0,2084476975",,"0,1833547283","0,8178479618",,"0,07897111913","0,2782622826","0,4388682055",,"0,4199363733",,"0,4719156242",,"0,3387294579","0,4780431433","0,1986401749","0,3996138996","0,2893006575","0,1940677966","0,1423487544",,"0,3218360996",,
player8,"0,00004820206305","0,6332155477",,"0,2245659581","0,03120124805",,"0,4588500564",,"0,02941176471",,"0,5433833302","0,04547081991","0,08854437624","0,2012686976","0,0668551063","0,2666345691","0,1277794248",,"0,2582651183","0,5121212121",,"0,6774471013","0,1819254365","0,606741573","0,4864864865",,0,,,"0,4618681907",,"0,1069114471","0,04815963898",,"0,5444839858","0,03900037864","0,0437235543","0,0004820206305","0,08069330766","0,19345898","0,2847619048","0,08129151693","0,2545350936","0,01813471503","0,1879572988","0,4690297172","0,3689205219","0,2529509188","0,1294117647","0,4363233666","0,2407480412",,,"1,816538635","0,07485963818","0,06301145663","0,6020114943","0,07451810061","0,04032018974","0,05649350649","0,2954694682",,"0,05143377333","0,5014943216",0,"0,5123674912",,"0,2354801804","0,5076770679","0,2705238468","0,5123717562","0,4716981132","0,667578125","0,4555240793","0,3085904921","0,4563151796","0,3893114289","0,1819254365","0,198019802","0,1473159934","0,02348993289",0,,,,,"0,6547619048","0,3825503356","0,4931943238","0,04760238012",,,"0,4854994629","0,3193381082","0,1581551997","0,1293706294",0,"0,272944182","0,05025491624","0,08659549229",,"0,03503480278","0,5201785021","0,267563373",,"0,1473159934","0,8424992802",,"0,05529095051","0,304510851","0,3045607591",,"0,629476584",,"0,4588471023",,"0,3034833539","0,4345283499","0,1826861479","0,4246353323","0,273467683","0,2930394432","0,005792064871",,"0,2808084128",,
player9,"0,000047437205","0,6598360656",,"0,2683473389","0,07766990291",,"0,5464914186",,"0,05957446809",,"0,6883824123","0,07197943445","0,07335907336","0,2107032058","0,06649791543","0,1437932971","0,1072484166",,"0,3572645931","0,5688405797",,"0,6401432266","0,146669761","0,6754617414","0,4545454545",,0,,,"0,5152445263",,"0,1979695431","0,04465698755",,"0,5412004069","0,05461102524","0,01942883895","0,00047437205","0,09895150721","0,2117748544","0,2301699717","0,08316270279","0,3254146447","0,09690721649","0,1766728758","0,4514138817","0,3016276704","0,2258014677","0,1147540984","0,5118924509","0,2071395413",,,"2,636737089","0,1396363636","0,1068892045","0,7136038186","0,08263108614","0,04982406756","0,07805429864","0,2626931567",,"0,07417974322","0,5800387886",0,"0,4084321476",,"0,2179554049","0,6772872909","0,3286073634","0,693663165","0,6358024691","0,6277966102","0,5269145069","0,4323279196","0,4436784779","0,3505361259","0,146669761","0,1238095238","0,1284046693","0,06629834254","0,0002159205412",,,,,"0,6006564551","0,3130755064","0,395670475","0,061829653",,,"0,4766066838","0,3626152074","0,1380532157","0,1842105263",0,"0,2392021062","0,05700060963","0,1571719227",,"0,084384273","0,7116749086","0,3079368962",,"0,1284046693","0,8609132803",,"0,09161793372","0,3914786094","0,2183374438",,"0,6546803653",,"0,4699448919",,"0,2728274693","0,4220601641","0,1615145636","0,2488038278","0,1804814181","0,2143916914","0,005111244738",,"0,250631541",,
player10,"0,00003881648536","0,508778626",,"0,2388196621","0,06575963719",,"0,4217450476",,"0,05414012739",,"0,5923872875","0,08951554591","0,09001673678","0,2384087697","0,07822551524","0,261680377","0,09353597287",,"0,2229297666","0,3589211618",,"0,6520960521","0,1785605831","0,5621840243","0,4565217391",,"0,0006033182504",,,"0,4526885475",,"0,1408839779","0,06747018685",,"0,5118009781","0,06222509702","0,04874699622","0,002348397364","0,0892500599","0,210694051","0,3129151292","0,0859749355","0,2311979261","0,08948339483","0,209818689","0,3872740419","0,3587072082","0,2428937796","0,0652173913","0,3134328358","0,2466968834",,,"2,031303289","0,1223643277","0,07022080764","0,544593528","0,0790708319","0,07227186746","0,06777963272","0,3078703704",,"0,09946186677","0,4681671656","0,00005557562453","0,3579626973",,"0,2755688992","0,4689772551","0,2919353331","0,5333544605","0,3753003364","0,640544989","0,439516129","0,2732884766","0,4301208054","0,3727663734","0,1785605831","0,1308724832","0,1413323685","0,05439056356","0,0003532416716",,,,,"0,474624732","0,2778505898","0,4956371753","0,02740067256",,,"0,5232104121","0,2920209471","0,1514798902","0,09452736318",0,"0,2670671234","0,09150947664","0,1294918137",,"0,01385201431","0,493204578","0,2409851301",,"0,1413323685","0,8058074715",,"0,06833005487","0,2822973796","0,3150785776",,"0,5078769692",,"0,4341528104",,"0,2723996056","0,4102969601","0,1872954253","0,4329652997","0,252863473","0,2818884913","0,02090097403",,"0,2527512178",,
